OBJECTID,NYCEM_ID,FACILITY_NAME,ADDRESS,BOROUGH,ZIP_CODE,PHONE,HANDICAP_ACCESS,EXTENDED_HOURS,STATUS,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,X,Y,FACILITY_TYPE,Entrance_info,PET_FRIENDLY
274,CC101,Throg's Neck Library,3025 Cross Bronx Exwy Ext,Bronx,10465,(718) 792-2612,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1034314.0,239132.0,Library,,No
275,CC1049,Petco Throgs Neck Bronx - Pet Friendly,815 Hutchinson River Pkwy,Bronx,10465,(718) 239-2715,Yes,No,OPEN,9a-8p,9a-8p,9a-8p,9a-8p,9a-8p,9a-8p,10a-7p,1029251.0,239373.0,Other,,Yes
277,CC104,City Island Library,320 City Island Av,Bronx,10464,(718) 885-1703,Yes,No,OPEN,11a-7p,11a-6p,11a-6p,11a-7p,10a-5p,10a-5p,,1043361.0,248183.0,Library,,No
279,CC404,Riverdale NSC - SENIORS ONLY,2600 Netherland Av,Bronx,10463,(718) 884-5900,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1007819.00009,259427.999894,Senior center,,No
280,CC220,Riverdale Library,5540 Mosholu Av,Bronx,10471,(718) 549-1212,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1011148.0,268516.0,Library,,No
281,CC219,Spuyten Duyvil Library,650 W 235 St,Bronx,10463,(718) 796-1202,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1007855.0,262171.0,Library,,No
282,CC405,Riverdale Y NSC - SENIORS ONLY,5625 Arlington Av,Bronx,10471,(718) 548-8200,Yes,Hours may be extended during a heat emergency.,OPEN,8:30a-4p,8:30a-4p,8:30a-4p,8:30a-4p,8:30a-4p,,,1009669.0,269056.999993,Senior center,,No
283,CC221,Van Cortlandt NSC - SENIORS ONLY,3880 Sedgwick Ave,Bronx,10463,(718) 549-4700,Yes,No,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1013635.66858,260826.87144,Senior center,"Front entrance, elevator to 2nd fl",No
285,CC458,Rain Gunhill NSC - SENIORS ONLY,3377 White Plains Rd,Bronx,10467,(718) 881-5589,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1020925.71141,257995.903677,Senior center,,No
293,CC029,Bronxworks E Roberts Moore NSC - SENIORS ONLY,515 Jackson Av,Bronx,10455,(718) 665-5559,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1009248.37913,235339.828911,Senior center,,No
295,CC330,Neighborhood SHOPP Leon NSC - SENIORS ONLY,735 E 152 St,Bronx,10455,(718) 708-6897,Yes,No,OPEN,8a-4:30p,8a-4:30p,8a-4:30p,8a-4:30p,8a-4:30p,,,1009965.62047,236619.72891,Senior center,,No
298,CC1009,The Sedgwick SC - SENIORS ONLY,1553 University Ave,Bronx,10453,,No,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1005684.0,247727.0,Senior center,,No
300,CC605,Murphy Community Center,601 Crotona Park North,Bronx,10457,(718) 466-6724,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1013479.82211,246485.869611,Cornerstone Program,,No
303,CC607,Soundview Community Center,1680 Seward Ave.,Bronx,10473,(718) 378-6246,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1020556.66163,237367.89408,Cornerstone Program,,No
304,CC322,Kips Bay Castle Hill NSC - SENIORS ONLY,625 Castle Hill Av,Bronx,10473,(718) 319-9156,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1026171.01949,237835.392817,Senior center,,No
305,CC035,James Monroe NSC - SENIORS ONLY,1776 Story Av,Bronx,10473,(718) 893-3484,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1021550.64061,239165.258924,Senior center,,No
306,CC454,Bronx River NSC - SENIORS ONLY,1619 E 174 St,Bronx,10472,(718) 617-6334,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1018469.23765,243512.044522,Senior center,,No
308,CC013,Pelham Parkway,785 Pelham Pkwy North,Bronx,10467,(718) 547-5929,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1021789.05856,252051.181073,Cornerstone Program,,No
309,CC241,Rain Boston Road NSC - SENIORS ONLY,2424 Boston Rd,Bronx,10467,(718) 547-8827,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1021228.51461,253247.725181,Senior center,,No
311,CC108,Rain Eastchester NSC - SENIORS ONLY,1246 Burke Av,Bronx,10469,(718) 882-8513,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1025341.24458,256578.68768,Senior center,,No
315,CC208,Boston Secor,3540 Bivona St,Bronx,10475,(718) 671-1040,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1030526.27298,261081.544713,Cornerstone Program,,No
316,CC398,Rain Boston Secor NSC - SENIORS ONLY,3540 Bivona St,Bronx,10475,(718) 671-8550,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1030531.97206,261058.967433,Senior center,,No
317,CC603,Betances,465 St. Ann's Ave,Bronx,10455,(718) 585-5040,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1007980.01782,235339.243282,Cornerstone Program,,No
318,CC637,Edenwald Community Center,1150 East 229th St.,Bronx,10466,(718) 652-0478,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1026977.25246,262070.564163,Cornerstone Program,,No
321,CC1008,JASA Einstein NSC - SENIORS ONLY,135 Einstein Loop,Bronx,10475,,No,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1033241.0,254399.0,Senior center,,No
322,CC1011,PSS Highbridge Gardens SC - SENIORS ONLY,1145 University Ave,Bronx,10453,,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1003780.0,244237.0,Senior center,,No
323,CC235,Highbridge Gardens,1155 University Av,Bronx,10452,(718) 992-7797,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1003984.76774,244602.531405,Cornerstone Program,,No
325,CC313,Mosholu Montefiore NSC - SENIORS ONLY,3450 Dekalb Av,Bronx,10467,(718) 798-6601,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1017224.57315,260453.051978,Senior center,,No
326,CC321,Rain Parkchester NSC - SENIORS ONLY,1380 Metropolitan Av,Bronx,10462,(718) 892-5520,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1022772.88193,243571.791777,Senior center,,No
327,CC1048,Petco Riverdale Bronx - Pet Friendly,193 W 237 St,Bronx,10463,(718) 796-0604,Yes,No,OPEN,9a-8p,9a-8p,9a-8p,9a-8p,9a-8p,9a-8p,10a-7p,1011950.0,261490.0,Other,,Yes
330,CC099,Baychester Library,2049 Asch Loop North,Bronx,10475,(718) 379-6700,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-6p,10a-5p,,1031470.89869,256547.606691,Library,,No
332,CC455,Dreiser NSC - SENIORS ONLY,177 Dreiser Loop,Bronx,10475,(718) 320-1345,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1031597.66776,259132.82496,Senior center,"2nd floor, Room #7",No
336,CC308,Sedgwick Library,1701 Dr M L King Jr Blvd,Bronx,10453,(718) 731-2074,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1007056.60475,248789.686583,Library,,No
337,CC107,Parkside NSC - SENIORS ONLY,644 Adee Av,Bronx,10467,(718) 881-7780,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1020464.94134,255978.228251,Senior center,,No
339,CC1027,Mott Haven Educational Campus,730 Concourse village West,Bronx,10451,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,,1005604.0,238669.0,School,,No
341,CC1026,PS/IS 194,2365 Waterbury Avenue,Bronx,10462,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,,1026741.0,243660.0,School,,No
343,CC561,Hunts Point Recreation Center,765 Manida St,Bronx,10474,(718) 860-5544,No,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,11a-7p,10a-6p,,1014909.11485,236207.954799,Community center,,No
345,CC516,Bronx Tremont Corps Comm Center,2121 Washington Av,Bronx,10457,(718) 584-6250,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-8p,9a-5p,9a-5p,9a-5p,,,1013165.0,249777.0,Community center,,No
346,CC025,Bronx Center Library,310 East Kingsbridge Rd,Bronx,10458,(718) 579-4244,Yes,No,OPEN,9a-9p,9a-9p,9a-9p,9a-9p,10a-8p,10a-8p,,1013415.0,253710.0,Library,,No
348,CC402,Kingsbridge Library,291 W 231 St,Bronx,10463,(718) 548-5656,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1009769.84271,260157.578795,Library,,No
349,CC602,Melrose Community Center,286 East 156th Street,Bronx,10451,(718) 665-1300,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1006300.18194,238621.155681,Cornerstone Program,Center is in the gym.,No
354,CC134,CCNS St Charles NSC - SENIORS ONLY,55 Pierrepont St,Brooklyn,11201,(718) 855-0326,Yes,No,OPEN,9:30a-5:30p,9:30a-5:30p,9:30a-5:30p,9:30a-5:30p,9:30a-5:30p,,,985621.999869,192861.000155,Senior center,,No
356,CC417,Carroll Gardens Library,396 Clinton St,Brooklyn,11231,(718) 596-6972,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,984789.0,188194.0,Library,,No
357,CC135,Eileen Dugan Amico NSC - SENIORS ONLY,378 Court St,Brooklyn,11231,(718) 596-1956,Yes,No,OPEN,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,,,985169.000119,187533.999982,Senior center,,No
360,CC416,Red Hook Library,7 Wolcott St,Brooklyn,11231,(718) 935-0203,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,981373.0,185285.0,Library,,No
368,CC1034,Pacific Library,25 4 Ave,Brooklyn,11217,,No,,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,990200.491696,188278.694687,Library,,No
370,CC369,Parkslope NSC - SENIORS ONLY,463A 7 St,Brooklyn,11215,(718) 832-3726,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,989525.999935,182833.999867,Senior center,Basement - Entrance on 7th Street,No
371,CC274,Park Slope Library,431 6 Av,Brooklyn,11215,(718) 832-1853,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,988853.112934,182732.863735,Library,,No
373,CC371,Brooklyn Central Library,10 Grand Army Plz,Brooklyn,11238,(718) 230-2100,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,993072.058083,184261.856001,Library,Entrance from street level at Eastern Parkway side of building,No
375,CC138,Ft Greene Grant Square NSC - SENIORS ONLY,19 Grant Sq,Brooklyn,11216,(718) 363-3133,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,997471.39743,185830.695318,Senior center,,No
377,CC141,CCNS Saint Louis NSC - SENIORS ONLY,230 Kingston Av,Brooklyn,11213,(718) 771-7945,Yes,No,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1000249.7941,183947.404137,Senior center,,No
378,CC142,H Gilroy NSC - SENIORS ONLY,447 Kingsborough 4 Walk,Brooklyn,11233,(718) 756-8400,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1005164.46866,185243.652528,Senior center,,No
381,CC414,Eastern Parkway Library,1044 Eastern Pkwy,Brooklyn,11213,(718) 953-4225,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1002666.0,182818.0,Library,,No
382,CC442,Shalom NSC - SENIORS ONLY,483 Albany Av,Brooklyn,11203,(718) 774-9213,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1000951.28811,180970.49572,Senior center,,No
387,CC431,Stuyvesant Gardens,214 Stuyvesant Av,Brooklyn,11221,(718) 226-0481,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1002775.12697,189874.191855,Cornerstone Program,,No
390,CC366,Macon Library,361 Lewis Av,Brooklyn,11233,(718) 573-5606,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1002336.0,188125.0,Library,,No
393,CC562,Marcy Library,617 DeKalb Av,Brooklyn,11216,(718) 935-0032,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,997759.083206,191256.747786,Library,,No
394,CC266,Bedford Temple Corps Comm Center,601 Lafayette Av,Brooklyn,11216,(718) 622-0614,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,10:30a-2p,997908.0,190828.0,Community center,,No
396,CC126,Clinton Hill Library,380 Washington Av,Brooklyn,11238,(718) 398-8713,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,993680.994677,189714.068193,Library,,No
399,CC364,Grace Agard Harewood NSC - SENIORS ONLY,966 Fulton St,Brooklyn,11238,(718) 638-6910,Yes,No,OPEN,9a-5p,9a-5p,9a-7p,9a-7p,9a-5p,,,994728.000029,187843.00002,Senior center,,No
400,CC273,Walt Whitman Library,93 St Edwards St,Brooklyn,11205,(718) 935-0244,No,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,990423.0,192292.0,Library,,No
402,CC522,Independence Towers,114 Taylor St,Brooklyn,11211,(718) 408-6374,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,994420.783891,196270.525158,Cornerstone Program,,No
403,CC267,Williamsburg Library,240 Division Av,Brooklyn,11211,(718) 302-3485,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,996007.0,196834.0,Library,,No
405,CC476,CCNS Northside NSC - SENIORS ONLY,179 North 6 St,Brooklyn,11211,(718) 387-2316,No,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,996125.999858,200442.000084,Senior center,,No
407,CC363,Krakus Luncheon Club NSC - SENIORS ONLY,176 Java St,Brooklyn,11222,(718) 383-3434,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,997135.000137,205780.999905,Senior center,,No
408,CC127,Greenpoint Library,107 Norman Av,Brooklyn,11222,(718) 349-8504,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,997915.993011,203791.975573,Library,,No
415,CC053,Bushwick Library,340 Bushwick Av,Brooklyn,11206,(718) 602-1348,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1000986.22636,195970.109094,Library,,No
425,CC052,Washington Irving Library,360 Irving Av,Brooklyn,11237,(718) 628-8378,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1008586.0,193403.0,Library,,No
428,CC588,Brownsville Library,61 Glenmore Ave,Brooklyn,11212,(718) 498-9721,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1009603.63727,183944.32934,Library,,No
434,CC407,Stone Avenue Library,581 Mother Gaston Blvd,Brooklyn,11212,(718) 485-8347,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1010545.4556,181373.088419,Library,,No
437,CC075,New Lots Library,665 New Lots Av,Brooklyn,11207,(718) 649-0311,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1015859.0,181645.0,Library,,No
440,CC347,Cypress Hills Fulton St NSC - SENIORS ONLY,3208 Fulton St,Brooklyn,11208,(718) 235-0064,Yes,Hours may be extended during a heat emergency.,OPEN,8:15a-4:15p,8:15a-4:15p,8:15a-4:15p,8:15a-4:15p,8:15a-4:15p,,,1018396.99994,187787.000132,Senior center,,No
441,CC564,Spring Creek Library,12143 Flatlands Ave,Brooklyn,11207,(718) 257-6571,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1015907.97014,177298.989612,Library,,No
443,CC829,P.S. 268 Emma Lazarus,133 EAST 53 STREET,Brooklyn,11203,,No,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,,1004352.66057,178693.426456,School,,No
445,CC1035,Rugby Library,1000 Utica Av,Brooklyn,11203,,No,,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1003568.75302,175598.564207,Library,,No
447,CC055,Crown Heights Library,560 New York Av,Brooklyn,11225,(718) 773-1180,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,998623.0,180171.0,Library,,No
449,CC140,Christopher C Blenman NSC - SENIORS ONLY,720 East New York Av,Brooklyn,11203,(718) 773-7400,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,10a-3p,,1001343.99992,180448.000046,Senior center,,No
454,CC785,P.S. 361 East Flatbush Early Childho,1957 NOSTRAND AVENUE,Brooklyn,11210,,No,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,,998773.045089,171630.010792,School,,No
455,CC563,Flatbush Library,22 Linden Blvd,Brooklyn,11226,(718) 856-0813,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,995838.05424,176792.677304,Library,,No
459,CC594,Ft Hazel Brooks NSC - SENIORS ONLY,961 Ocean Ave.,Brooklyn,11226,(347) 435-3287,No,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,995730.091529,172078.805827,Senior center,,No
460,CC950,NYC Vaccine Hub - Flatbush YMCA ,1401 Flatbush Ave,Brooklyn,11210,,Yes,No,OPEN,9a-6p,9a-6p,9a-6p,9a-6p,9a-6p,9a-6p,9a-6p,997764.639954,171305.375287,Other,,No
461,CC1054,Windsor Terrace,160 E 5 St,Brooklyn,11218,(718) 686-9707,Yes,No,OPEN,10a-6p,1p-8p,10a-6p,10a-8p,10a-6p,10a-5p,,990694.0,175615.0,Library,,No
462,CC278,Mapleton Library,1702 60 St,Brooklyn,11204,(718) 256-2117,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,987164.0,166245.0,Library,,No
463,CC231,Borough Park Library,1265 43 St,Brooklyn,11219,(718) 437-4085,No,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,987302.052349,172041.058896,Library,,No
465,CC282,Amico 59 St NSC - SENIORS ONLY,5901 13 Av,Brooklyn,11219,(718) 972-1558,Yes,Hours may be extended during a heat emergency.,OPEN,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,,,984841.000118,168476.00004,Senior center,,No
466,CC485,McKinley Park Library,6802 Fort Hamilton Pkwy,Brooklyn,11219,(718) 748-8001,No,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,980940.0,168520.0,Library,,No
468,CC489,Bay Ridge NSC - SENIORS ONLY,6935 4 Av,Brooklyn,11209,(718) 748-0650,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,977734.20298,170179.810609,Senior center,,No
470,CC277,Bay Ridge Library,7223 Ridge Blvd,Brooklyn,11209,(718) 748-5709,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,976060.0,170114.0,Library,,No
471,CC276,Bay Ridge Corps Comm Center,252 86 St,Brooklyn,11209,(718) 238-2991,Yes,No,OPEN,10a-3p,,8a-4p,10a-3p,10a-3p,,,975310.0,166361.0,Community center,,No
472,CC486,Fort Hamilton Library,9424 4 Av,Brooklyn,11209,(718) 748-6919,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,975550.556582,163831.213859,Library,,No
479,CC1020,P.S. 204 Vince Lombardi,8101 15 AVENUE,Brooklyn,11228,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,,982545.0,162804.0,School,,No
481,CC059,New Utrecht Library,1743 86 St,Brooklyn,11214,(718) 236-4086,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,983316.0,160792.0,Library,,No
484,CC406,Ryder Library,5902 23 Av,Brooklyn,11204,(718) 331-2962,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,990901.611685,163670.602827,Library,,No
485,CC544,House of Jacob - SENIORS ONLY,6222 23 Av,Brooklyn,11204,(718) 259-0100,Yes,No,OPEN,9a-4p,9a-4p,9a-4p,9a-4p,9a-4p,,,990328.0,162950.0,Senior center,,No
486,CC152,Highlawn Library,1664 W 13 St,Brooklyn,11223,(718) 234-7208,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,988067.0,159941.0,Library,,No
488,CC376,Sephardic Multi Service NSC - SENIORS ONLY,485 Kings Hwy,Brooklyn,11223,(718) 336-1300,Yes,No,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,,,,992152.99993,159511.999924,Senior center,,No
490,CC493,Midwood Library,975 E 16 St,Brooklyn,11230,(718) 252-0967,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,995279.0,167294.0,Library,,No
492,CC408,Kings Highway Library,2115 Ocean Av,Brooklyn,11229,(718) 375-3037,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,997269.277868,161608.67875,Library,,No
493,CC1021,J.H.S. 234 Arthur W. Cunningham,1875 EAST  17 STREET,Brooklyn,11229,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,,996705.0,159501.0,School,,No
499,CC156,JCCGCI ISC - SENIORS ONLY,3001 W 37 St ,Brooklyn,11224,(718) 449-5000 ext. 2350,Yes,Hours may be extended during a heat emergency.,OPEN,8:30a-4:30p,8:30a-4:30p,8:30a-7p,8:30a-4:30p,8:30a-4p,,,983652.99987,147949.000084,Senior center,Enter on second (2nd floor),No
500,CC377,Gravesend Library,303 Av X,Brooklyn,11223,(718) 382-5792,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,992081.961015,154425.383938,Library,,No
504,CC318,Homecrest Library,2525 Coney Is Av,Brooklyn,11223,(718) 382-5924,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,995191.493853,156138.184821,Library,,No
505,CC449,Kings Bay Library,3650 Nostrand Av,Brooklyn,11229,(718) 368-1709,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1000589.96066,156006.678467,Library,,No
506,CC1038,Petco Ave Y Sheepshead - Pet Friendly,1610 Ave Y,Brooklyn,11235,(718) 743-2147,Yes,No,OPEN,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,997232.0,154197.0,Other,,Yes
510,CC056,Paerdegat Library,850 E 59 St,Brooklyn,11234,(718) 241-3994,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1006460.0,169766.0,Library,,No
512,CC595,Midwood NSC - SENIORS ONLY,2164 Ralph Av,Brooklyn,11234,(718) 253-5557,No,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1006975.65664,166783.488661,Senior center,,No
518,CC589,Canarsie Library,1580 Rockaway Pkwy,Brooklyn,11236,(718) 257-6547,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1012134.71095,173266.154502,Library,,No
520,CC373,Jamaica Bay Library,9727 Seaview Av,Brooklyn,11236,(718) 241-3571,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1014964.0,170450.0,Library,,No
522,CC565,Mill Basin Library,2385 Ralph Ave,Brooklyn,11234,(718) 241-3973,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,1007277.65144,165110.563201,Library,,No
524,CC537,Mill Basin Senior Center - SENIORS ONLY,2075 E 68 St,Brooklyn,11234,(718) 444-3850,Yes,No,OPEN,8:30a-3:30p,8:30a-3:30p,8:30a-3:30p,8:30a-3:30p,8:30a-3:30p,,,1009338.0,164760.0,Senior center,,No
528,CC552,Brighton Beach,16 Brighton First Road,Brooklyn,11235,(718) 946 2917,Yes,No,OPEN,10a-4p,1p-7p,10a-4p,1p-7p,10a-4p,10a-4p,,993481.56786,149188.253725,Library,,No
529,CC155,JASA Senior Alliance NSC - SENIORS ONLY,161 Corbin Pl,Brooklyn,11235,(718) 646-4100,Yes,No,OPEN,9a-4p,9a-4p,9a-4p,9a-4p,9a-4p,,,997074.252227,149748.828177,Senior center,,No
531,CC617,Taylor-ÂWythe Community Center,80 Clymer St.,Brooklyn,11211,(718) 782-5553,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,993775.067552,196092.774203,Cornerstone Program,,No
532,CC015,Marcus Garvey,20 Amboy St,Brooklyn,11212,(718) 649-3972,No,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1007833.64519,183359.214524,Cornerstone Program,,No
539,CC379,JASA Sheuer House of Coney Isl NSC - SENIORS ONLY,3601 Surf Av,Brooklyn,11224,(718) 373-3954,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,,,983612.605594,148275.625415,Senior center,Main entrance on W 37 St,No
