ORGANIZATION_NAME,LOCATION_NAME,ADDRESS_1,ADDRESS_2,PHONE,EXT,CASE_MANAGEMENT,CRISIS_INTERVENTION,LEGAL_SERVICES,SAFETY_PLANNING,IMMIGRATION_SERVICES,EMERGENCY_OR_TRANSITIONAL_SHELTER,PERMANENT_HOUSING,HEALTH_CARE,MENTAL_HEALTH_COUNSELING,DRUG_ADDICTION_SCREENING_AND_TREATMENT,LANGUAGE_INTERPRETATION,PUBLIC_BENEFITS,JOB_TRAINING_AND_ECONOMIC_EMPOWERMENT,RESTORATIVE_JUSTICE,OTHER_SERVICE,INTIMATE_PARTNER_VIOLENCE,FAMILY_VIOLENCE,SEXUAL_ASSAULT,VIOLENT_CRIME,HATE_CRIME,PROPERTY/FINANCIAL_CRIMES,AGE_0-5,AGE_5-24,AGE_25-60,AGE_60+,ELIGIBILITY_CRITERIA,MAIN_HOURS_OF_OPERATION,WEEKEND_HOURS_OF_OPERATION,SPANISH,ARABIC,BENGALI,CHINESE,FRENCH,HAITIAN-CREOLE,ITALIAN,KOREAN,POLISH,RUSSIAN,URDU,YIDDISH,OTHER_LANGUAGE,WHEELCHAIR_ACCESS,REFERRAL_REQUIRED,ARAB_MIDDLE_EASTERN,ASIAN_PACIFIC_ISLANDER,BLACK_AFRICAN_AMERICAN_AFRICAN,CARIBBEAN_INDO-CARIBBEAN,HISPANIC_LATINO_A_X,SOUTH_ASIAN,JEWISH,HINDU,MUSLIM,SIKH,INDIGENOUS_FIRST_PEOPLE_AMERICAN_INDIAN_NATIVE_AMERICAN,LGBTQ+,TRANSGENDER_AND_GENDER_NONCONFORMING_FOCUS,PEOPLE_WITH_DISABILITIES,BOROUGH,X,Y,WEBSITE
Edith and Carl Marks Jewish Community House of Bensonhurst,,7802 Bay Parkway,"Brooklyn, NY 11214",718-943-6349,,1,1,,1,,,,,,,1,1,1,,,1,1,,,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,1,,,,1,,,1,,1,,,,,,,1,,,,Brooklyn,987100,160188,http://www.jchb.org/
"Food First Family Project, Inc.",,165 Conover Street,"Brooklyn, NY 11231",718-624-1950,,1,1,,1,,1,,,,,,,,,Child Care Services,1,1,,,1,,1,1,1,,,"Open 24 hours 7 days a week
",,1,,,,,,,,,,1,,,1,,,1,,1,,,,,,,1,,,,Brooklyn,980496,186368,http://www.foodfirstinc.com/
Garden of Hope,Queens Family Justice Center,"126-02 82nd Avenue ","Kew Gardens, NY 11415",877-990-8595,,1,1,1,1,1,1,,,1,,1,1,1,,,1,,1,1,1,,1,1,1,,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,,,1,,,,,,,,,Cantonese,1,,,1,1,1,,,,,,,1,,,,Queens,1032459,199212,http://www.gohny.org/
Good Shepherd Services,Brooklyn Family Justice Center,"350 Jay Street, 15th Floor","Brooklyn, NY 11201",718-250-5035,,1,1,1,1,1,1,1," ",1," ",1,," ",,"Counseling, Advocacy, Spanish Intimate Partner Violence  Support Groups",1,1,1," ",1,,1,1,1,1,"Serves intimate partner violence survivors ",Monday - Tuesday- Wednesdays: <br> 9 am - 5 pm,,1,,,,,,,,,,,,,1,Any organization can refer a client to us however we accept self-referrals.,1,1,1,1,,,,,,,1,,,,Brooklyn,987687,192183,https://goodshepherds.org
Good Shepherd Services,Safe Homes Project,"503 5th Avenue, 4th Floor","Brooklyn, NY 11215",718-788-6947,,1,1,1,1,1,1,1,,1,,1,1,,,"Emergency Shelter, Counseling Services, Support Groups, Childcare Services",1,1,1,,1,,1,1,1,1,"Serves intimate partner violence survivors ",Monday - Friday: 9 am - 5 pm,"24 hour Emergency Shelter available<br> Hotline: 718-499-2151 ",1,,,,,,,,,,,,,1,Any organization can refer a client to us however we accept self-referrals.,,1,1,1,1,1,1,1,1,1,1,1,1,1,Brooklyn,987630,182251,https://goodshepherds.org/
Garden of Hope,Brooklyn Family Justice Center,"350 Jay Street, 16th Floor","Brooklyn, NY 11201",877-990-8595,,1,1,1,1,1,1,,,1,,1,1,1,,,1,,1,1,1,,1,1,1,,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,,,1,,,,,,,,,Cantonese,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,Brooklyn,987687,192183,http://www.gohny.org/
Graham Windham,Manhattan Mental Health Clinic,274 W 145th Street,"New York, NY 10039","212-368-4100 ",7123,,1,,1,,,,,1,,,,,,,1,1,1,1,1,,,1,,,"Serves victims 4 - 25 years of age, call to confirm eligibility","<ul style=""list-style-type:none"">
  <li>Monday - Thursday: 9 am - 8 pm</li>
  <li>Friday: 9 am - 5 pm</li>
</ul>",Saturday - Sunday: 10 am - 4 pm,1,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,Manhattan,1000375,238958,www.graham-windham.org
Graham Windham,Brief Strategic Family Therapy Preventive Services,274 W 145th Street,"New York, NY 10039","212-368-4100 ",7130,1,1,,1,,,,,1,,1,1,,,,1,1,1,1,1,,,1,,,Serves victims 10 - 18 years of age who are enrolled in a Graham Windham preventive program,Monday - Friday: 11 am - 7 pm,Call to inquire about weekend hours of operation,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,Manhattan,1000375,238958,www.graham-windham.org
Graham Windham,Family Treatment and Rehabilitation,540 Atlantic Avenue,"Brooklyn, NY 11217",718-294-1715,4150,1,1,,1,,,,,,1,1,1,,,,1,1,1,1,,,1,1,1,,Call to confirm eligibility,Monday - Friday: 11 am - 7 pm,Call to inquire about weekend hours of operation,1,,,,1,1,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,Brooklyn,989729,188736,www.graham-windham.org
Graham Windham,General Preventive,1946 Webster Avenue,"Bronx, NY 10457","718-875-1167 ",3356,1,1,,1,,,,,,1,1,1,,,,1,1,1,1,,,1,1,,,Serves victims with children under 18 years of age at risk of foster care placement,Monday - Friday: 9 am - 8 pm,Call to inquire about weekend hours of operation,1,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,Bronx,1011950,248576,www.graham-windham.org
"HANAC, Inc.",Legal Victim Assistance Program,27-40 Hoyt Avenue South,"Astoria, NY 11102",718-396-5041,,,,1,1,1,,,,,,1,,,,Restitution,1,1,1,1,1,,,1,1,1,,Monday - Friday: 9 am - 5 pm,10am-3pm (With appoitment only),1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,Queens,1006572,220176,http://hanac.org/
"HANAC, Inc.",DOVE,27-40 Hoyt Avenue South,"Astoria, NY 11102",718-396-5041,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm (Appointments only),,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Queens,1006572,220176,http://hanac.org/
HeartShare St. Vincent's Services,"Outpatient Mental Health Clinic ","66 Boerum Place, 1st Floor","Brooklyn, NY 11201","718-522-6011 ",,,1,,1,,,,,1,1,,,,,,1,1,1,1,,1,1,1,1,1,,Monday - Friday: 9 am - 9 pm,Saturday - Sunday: 10 am - 3 pm,1,,,,,,,,,1,,,,1,,1,,1,1,1,1,1,1,1,1,,1,1,1,Brooklyn,986790,190566,https://hsvsnyc.org/
HeartShare St. Vincent's Services,"Outpatient Mental Health Clinic ","89-31 161st Street, 4th Floor","Jamaica, NY 11432",718-206-0218,,,1,,1,1,,,,1,1,,,,,,1,1,1,1,,1,1,1,1,1,,Monday - Friday: 9 am - 9 pm,Saturday - Sunday: 10 am - 3 pm,1,,,,,,,,,,,,,1,,,,1,,1,1,1,1,1,1,,1,1,1,Queens,1039930,196411,https://hsvsnyc.org/
HeartShare St. Vincent's Services,Special Medical Preventive Services,"89-31 161st Street, 4th Floor","Jamaica, NY 11432",718-206-0825,,1,1,,1,,,,1,1,,,1,,,,1,1,,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,1,,1,1,1,Queens,1039930,196411,https://hsvsnyc.org/
HeartShare St. Vincent's Services,General Preventive Services,"8718 Bay Parkway, 7th Floor","Brooklyn, NY 11214",718-234-1717,,1,1,,1,,,,,1,,,1,,,,1,1,,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,1,,,,1,,,,1,1,1,1,1,1,1,1,,1,1,1,Brooklyn,985203,157765,https://hsvsnyc.org/
HeartShare St. Vincent's Services,General Preventive Services,2950 W 25th Street,"Brooklyn, NY 11224",718-372-0580,,1,1,,1,,,,,1,,,1,,,,1,1,,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,1,,1,1,1,Brooklyn,986362,148408,https://hsvsnyc.org/
HeartShare St. Vincent's Services,General Preventive Services,"1353 Utica Avenue ","Brooklyn, NY 11203",347-770-8155,,1,1,,1,,,,,1,,,1,,,,1,1,,,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,1,,,,,,,,1,,1,,1,1,,,,,,,,,,,Brooklyn,1004081,172284,https://hsvsnyc.org/
HELP USA - HELP ROADS,,115 East 13th Street," New York, NY 10003 ",718-922-7980,,,1,1,1,1,1,1,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,Fill out referral phone via hotline or email.,1,1,1,1,1,,,,1,,1,1,1,,Manhattan,987308,206472,http://www.HELPUSA.org
"Jamaica Service Program for Older Adults, INC",Safety Department,92-47 165th Street,"Jamaica, NY 11433",718-657-6500,,1,,,1,1,1,,,1,,1,1,1,1,"Respite, Neighborhood Naturally Occurring Retirement Community Supportive (NNORC) Services, Domestic Violence Services, Social Adult Day Care, Entitlements and Benefits, Transportation",1,1,1,1,1,1,,,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,Queens,1041336,195996,www.jspoa.org
Jewish Association Serving the Aging (JASA),Brooklyn Elder Abuse,"2211 Church Avenue , 3 Floor","Brooklyn, NY 11226",212-273-5272,,1,,1,,,,,,,,,,,,,1,1,,,,1,,,,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Brooklyn,995895,176335,http://www.jasa.org/
Jewish Association Serving the Aging (JASA),Queens Elder Abuse,"97-77 Queens Boulevard, Suit 600","Rego Park, NY 11375",212-2273-5272,,1,,1,,,,,,,,,,,,,1,1,,,,1,,,,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Queens,1023483,204980,http://www.jasa.org/
Her Justice,Administrative Office,"100 Broadway ","New York, NY 10005",212-695-3800,,,,1,1,1,,,,,,,,,,,1,1,1,1,,1,,1,1,1,"Survivors of intimate partner violence who identify as women, reside in NYC, and have a household income that falls within 200% of the federal poverty guidelines. Cases should fall into the following practice areas: matrimonial support, child support, spousal support, orders of protection (family court), custody and visitation cases, U Non-Immigrant Status and VAWA Self Petitions, and Battered Spouse Waivers",Monday - Friday: 9:30 am - 5:30 pm,,1,1,,,1,,1,1,,1,,,,1,,,,1,1,,,,,,,,,,,Manhattan,981167,197208,http://www.herjustice.org/
Her Justice,Manhattan Family Justice Center,80 Centre Street,"New York, NY 10013",212-602-2800,,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,,1,,1,1,1,"Survivors of intimate partner violence who identify as women, reside in NYC, and have a household income that falls within 200% of the federal poverty guidelines. Cases should fall into the following practice areas: matrimonial support, child support, spousal support, orders of protection (family court), custody and visitation cases, U Non-Immigrant Status and VAWA Self Petitions, and Battered Spouse Waivers","<ul style=""list-style-type:none""><li>Immigration consultations every 1st and 3rd Thursdays of the month: As needed </li><li>Civil legal screening every 1st and 3rd Mondays of the month: 9 am - 5 pm</li></ul>",,1,,,,,,,,,,,,The Family Justice Centers Have Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,,1,1,1,,,,,,,,,,,Manhattan,983763,199873,http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page
Her Justice,"Brooklyn Family Justice Center ",350 Jay Street,"Brooklyn, NY 11201",718-250-5111,,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,,1,,1,1,1,"Survivors of intimate partner violence who identify as women, reside in NYC, and have a household income that falls within 200% of the federal poverty guidelines. Cases should fall into the following practice areas: matrimonial support, child support, spousal support, orders of protection (family court), custody and visitation cases, U Non-Immigrant Status and VAWA Self Petitions, and Battered Spouse Waivers","<ul style=""list-style-type:none""><li>Immigration consultations every 1st and 3rd Monday of the month: 9 am - 5 pm </li><li>Civil legal screening every 2nd Tuesday of the month: 9 am - 5 pm</li></ul>",,1,,,,,,,,,,,,The Family Justice Centers Have Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,Brooklyn,987687,192183,http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page
Her Justice,"Bronx Family Justice Center  ",198 E 161st Street,"Bronx, NY 10451",718-508-1220,,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,,1,,1,1,1,"Survivors of intimate partner violence who identify as women, reside in NYC, and have a household income that falls within 200% of the federal poverty guidelines. Cases should fall into the following practice areas: matrimonial support, child support, spousal support, orders of protection (family court), custody and visitation cases, U Non-Immigrant Status and VAWA Self Petitions, and Battered Spouse Waivers","<ul style=""list-style-type:none""><li>Immigration consultations every 1st and 3rd Tuesdays of the month: 9 am - 5 pm </li><li>Civil legal screening every 2nd Tuesday of the month: 9 am - 5 pm</li></ul>",,1,,,,,,,,,,,,The Family Justice Centers Have Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,1,1,1,,1,1,1,1,1,1,,1,1,1,Bronx,1006186,240244,http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page
Her Justice,"Queens Family Justice Center  ",126-02 82nd Avenue,"Kew Gardens, NY 11415",718-575-4545,,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,"Survivors of intimate partner violence who identify as women, reside in NYC, and have a household income that falls within 200% of the federal poverty guidelines. Cases should fall into the following practice areas: matrimonial support, child support, spousal support, orders of protection (family court), custody and visitation cases, U Non-Immigrant Status and VAWA Self Petitions, and Battered Spouse Waivers","<ul style=""list-style-type:none""><li>Immigration consultations every 1st and 3rd Tuesdays of the month: 9 am - 5 pm</li><li>Civil legal screening every 2nd and 4th Tuesdays of the month: 9 am - 5 pm</li></ul>",,1,,,,,,,,,,,,The Family Justice Centers Have Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,,1,1,,1,1,1,1,1,1,,1,1,1,Queens,1032459,199212,http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page
Her Justice,"Staten Island Family Justice Center  ",126 Stuyvesant Place,"Staten Island, NY 10301",718-697-4300,,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,"Survivors of intimate partner violence who identify as women, reside in NYC, and have a household income that falls within 200% of the federal poverty guidelines. Cases should fall into the following practice areas: matrimonial support, child support, spousal support, orders of protection (family court), custody and visitation cases, U Non-Immigrant Status and VAWA Self Petitions, and Battered Spouse Waivers","<ul style=""list-style-type:none""><li>Immigration consultations every 2nd and 4th Mondays of the month: 9 am - 5 pm</li></ul>",,,,,,,,,,,,,,The Family Justice Centers Have Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,,1,1,,1,1,1,1,1,1,,1,1,1,Staten Island,962818,173610,http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page
Kingsbridge Heights Community Center,The Changing Futures Program,3101 Kingsbridge Terrace,"Bronx, NY 10463",718-884-0700,,1,1,,1,1,,,,1,,1,1,1,,,1,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 7 pm ",Saturday: 9 am - 5 pm,1,,,,,,,,,,,,,1,We accept referrals and walk-ins,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bronx,1011710,259018,https://www.khcc-nyc.org/program/changing-futures
Leake & Watts,IS 217 School of the Performing Arts,977 Fox Street,"Bronx, NY 10459","718-589-4844 ",1155,1,1,,1,,,,,1,,,,,,,1,1,1,1,1,,1,1,,,"Serves the community at IS 217, IS 384, South Bronx Classical Charter School, or NYC Autism Charter School",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,1,,,1,1,1,1,1,1,,1,1,1,Bronx,1013479,238763,http://www.leakeandwatts.org/
Leake & Watts,JHS 123 - The Bronx Urban Community School,"1025 Morrison Avenue ","New York, NY 10472","718-328-2105 ",1181,1,1,,1,,,,,1,,,,,,,1,1,1,1,1,,1,1,,,Serves the community at JHS 123 - The Bronx Urban Community School,Monday - Friday: 8 am - 4 pm,,1,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,1,,1,1,1,Bronx,1019157,239951,http://www.leakeandwatts.org/
The Legal Aid Society,Civil - Bronx Neighborhood Office,"260 E 161st Street, 8th floor","Bronx, New York 10451",718-991-4758,,,,1,,,,,,,,,,,,,1,,,,,,,,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Bronx,1006630,240054,http://www.legal-aid.org/en/home.aspx
The Legal Aid Society,Civil - Brooklyn Neighborhood Office,"111 Livingston Street, 7th Floor","Brooklyn, NY 11201",718-722-3100,,,,1,,,,,,,,,,,,,1,,,,,,,,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Brooklyn,987077,191200,http://www.legal-aid.org/en/home.aspx
The Legal Aid Society,Civil - Harlem Community Law Office,"Theresa Towers, 2090 Adam Clayton Powell Jr Blvd.","New York, NY 10027",212-426-3000,,,,1,,,,,,,,,,,,,1,,,,,,,,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Manhattan,998388,233929,http://www.legal-aid.org/en/home.aspx
The Legal Aid Society,Civil - Queens Neighborhood Office,"153-01 Jamaica Avenue, 2nd Floor","Jamaica,  New York  11432",718 286 2450,,,,1,,,,,,,,,,,,,1,,,,,,,,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Queens,1039135,195505,http://www.legal-aid.org/en/home.aspx
The Legal Aid Society,Civil - Staten Island Neighborhood Office,"60 Bay Street, 3rd Floor","Staten Island, NY 10301",347-422-5333,,,,1,,,,,,,,,,,,,1,,,,,,,,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Staten Island,963092,172632,http://www.legal-aid.org/en/home.aspx
Legal Information for Families Today (LIFT),LIFT Central Office,"32 Court Street, Suite 1208 ","Brooklyn, NY 11201",646-613-9633,,,,,,,,,,,,,,,,,1,1,,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Brooklyn,986716,191749,http://www.liftonline.org/
Legal Information for Families Today (LIFT),Brooklyn Family Court,"330 Jay Street, 5th Floor","Brooklyn, NY 11201",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Brooklyn,987662,192339,http://www.liftonline.org/
Legal Information for Families Today (LIFT),Manhattan Family Court,60 Lafayette Street,"New York, NY 10013",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Manhattan,983491,200373,http://www.liftonline.org/
Legal Information for Families Today (LIFT),Bronx Family Court,"900 Sheridan Avenue, 7th Floor","Bronx, NY 10451",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Bronx,1006308,240467,http://www.liftonline.org/
Legal Information for Families Today (LIFT),Queens Family Court,151-20 Jamaica Avenue,"Jamaica, NY 11432",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Queens,1038933,195163,http://www.liftonline.org/
Legal Information for Families Today (LIFT),Staten Island Family Court,"25 Hyatt Street, 4th Floor","Staten Island, NY 10301",646-613-9633,,,,1,,,,,,,,,,,,,1,1,,,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Staten Island,962787,173199,http://www.liftonline.org/
Legal Services NYC,Bronx Legal Services,"349 E 149th Street, 10th Floor","Bronx, NY 10451",718-928-3700,,1,1,1,1,1,,,,1,,1,1,,,New York State Office of Victim Services Claim Application Assistance,1,1,1,1,1,1,1,1,1,1,"Low-income Bronx residents or people who have relocated from the Bronx for safety reasons, call to confirm eligibility","Monday - Friday: 9 am to 5 pm
Hotline Hours: Monday - Friday: 10 am - 4 pm",,1,,1,1,1,1,,,,,,,We utilize Voiance Telephone Interpreting System that interprets for 160 Languages,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,Bronx,1006473,236891,http://www.legalservicesnyc.org/our-program/bronx
Legal Services NYC,Bronx Family Justice Center (Bronx Legal Services),198 E 161st Street,"Bronx, NY 10451",718-508-1222,,,,1,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking",Wednesday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Bronx,1006186,240244,http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page
Legal Services NYC,Brooklyn Legal Services,"105 Court Street, 3rd Floor","Brooklyn, NY 11201",718-237-5500,,1,1,1,1,1,,,,,,1,1,,,,1,1,1,,,,1,1,1,1,Call to confirm eligibility,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Brooklyn,986594,190930,http://www.legalservicesnyc.org/our-program/brooklyn
Legal Services NYC,Manhattan Legal Services," 1 West 125th Street, 2nd Floor","New York, NY 10027",646-442-3100,,1,1,1,1,1,,,,,,1,1,,,,1,1,1,,,,1,1,1,1,Call to confirm eligibility,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Manhattan,1000190,233217,http://www.legalservicesnyc.org/our-program/manhattan
Legal Services NYC,Queens Legal Services," 89-00 Sutphin Boulevard, 5th Floor","Jamaica, NY 11435",347-592-2200,,1,1,1,1,1,,,,,,1,1,,,New York State Office of Victim Services Claim Application Assistance,1,1,1,1,,1,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,24 Hour Domestic Violence Hotline: 347-592-2179,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Queens,1037224,195626,http://www.legalservicesnyc.org/our-program/queens
Legal Services NYC,Staten Island Legal Services,"36 Richmond Terrace, Suite 205 ","Staten Island, NY 10301",718-233-6480,,1,1,1,1,1,,,,,,1,1,,,New York State Office of Victim Services Claim Application Assistance,1,1,1,1,,1,1,1,1,1,Serves survivors of intimate partner violence,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Staten Island,962996,173754,http://www.legalservicesnyc.org/our-program/staten-island
LifeWay Network,Main Office,85-10 61st Road,"Rego Park, NY 11374",718-779-8075,,,,,1,,1,,,,,,,,,,1,,1,,1,1,,1,1,1,"Serves female victims who are 18 years of age or older ",Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Queens,1019767,204348,www.lifewaynetwork.org
"LSA Family Health Service, Inc.",,333 E 115th Street,"New York, NY 10029",646-672-5200,,,,,,1,,,,1,,,1,,,,,,,,1,1,1,1,1,1,"Serves Manhattan residents, call to confirm eligibility",Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Manhattan,1001795,229246,http://littlesistersfamily.org
Lutheran Social Services of New York,Immigration Legal Program,75 West 125th Street,"New York, NY 10027",212-265-1826,,,,,,1,,,,,,1,,,,,,,,,,,1,1,1,1,,Monday - Friday: 9:30 am - 5:30 pm,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,Manhattan,999554,233568,http://lssny.org/
Met Council,Bronx Family Justice Center,"198 E 161st Street ","Bronx, NY 10451",718-508-1274,,1,1,,1,,,,,,,1,1,1,,Financial Assistance,1,,1,,1,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking","<ul style=""list-style-type:none"">
  <li>Monday - Thursday: 9 am - 5 pm</li>
  <li>Friday: 9 am - 2 pm</li>
</ul>",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Bronx,1006186,240244,http://www.metcouncil.org/site/PageServer
Met Council,Brooklyn Family Justice center,"350 Jay Street ","Brooklyn, NY 11201",718-850-5036,,1,1,,1,,,,,1,,1,1,1,,Financial assistance,1,,1,,1,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking","<ul style=""list-style-type:none"">
  <li>Monday - Thursday: 9 am - 5 pm</li>
  <li>Friday: 9 am - 2 pm</li>
</ul>",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Brooklyn,987687,192183,http://www.metcouncil.org/site/PageServer
Met Council,"Queens Family Justice Center  ",126-02 82nd Avenue,"Kew Gardens, NY 11415",718-575-4539,,1,1,,1,,,,,1,,1,1,1,,Financial Assistance,1,,1,,1,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking","<ul style=""list-style-type:none"">
  <li>Monday - Thursday: 9 am - 5 pm</li>
  <li>Friday: 9 am - 2 pm</li>
</ul>",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Queens,1032459,199212,http://www.metcouncil.org/site/PageServer
Met Council,Manhattan Family Justice center,"80 Centre Street ","New York, NY 10013",212-602-2821,,1,1,,1,,,,,1,,1,1,1,,Financial Assistance,1,,1,,1,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking","<ul style=""list-style-type:none"">
  <li>Monday - Thursday: 9 am - 5 pm</li>
  <li>Friday: 9 am - 2 pm</li>
</ul>",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Manhattan,983763,199873,http://www.metcouncil.org/site/PageServer
Met Council,"Home office ","77 Water Street, 7th floor","New York, NY 10005",212-453-9592,,1,1,,1,,,,,1,,1,1,1,,Financial Assistance,1,1,1,,1,,1,1,1,1,"Serves survivors of intimate partner violence, elder abuse and/or sex trafficking","<ul style=""list-style-type:none"">
  <li>Monday - Thursday: 9 am - 5 pm</li>
  <li>Friday: 9 am - 2 pm</li>
</ul>",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Manhattan,981977,195844,http://www.metcouncil.org/site/PageServer
Montefiore Behavioral Health Center at Westchester Square,,"2527 Glebe Avenue  ","Bronx, NY 10461",718-904-4434,,,,,1,,,,,1,,,,,,"Mental Health Counseling, Medication Management, Primary Care ",1,1,1,1,1,1,1,1,1,1,Call to confirm eligibility,Monday - Friday: 8:30 am - 6:30 pm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Bronx,1026680,245752,http://www.montefiore.org/mbhc
